komm,jordtype,aar_mod,saamng,tkvs,saakern,partigerm,saatid,frspdag,jordinf,markgrm,antplnt,forfrugt,pesticid,exptgens,nedbarea,nmin,mod_nmin,ngodnt,nopt,potnmin,jordn,ngodnn,ngodn,nplac,dg25,ngtilg,ntilg,rokap,dgv1059,sort,sorttkv,aks_m2,dgv5980,aks_vgt,bgbyg,keraks,srtsize,ksort,nprot,srtprot,protein,s2225,s2528,slt22,spndx,tkv,udb
state2,Jb_1_,x_5,x70_90,x44_46,x175_225,x97_98,x11_4_20_4,x_15,x_95__97,x94_95,x175_225,Cer_rotation,x_2,x30_40,x2__375_500_,x15_30,x15_30,x90_105,x120_135,x0_15,x30_45,x75_90,x75_90,Top_dressed,x11_5_27_5,x90_105,x135_150,x62_5_87_5,x41_50,Cooper,x5,x450_550,x5_10,x850_950,x4_0_4_5,x19_21,x1,x90_95,x40_60,x2,x9_0_9_5,x0_1,x0_5,x3_5,x9_10,x42_5_45,x40_50
state0,JB_2,x_5,x150_170,x30_35,x_450,x93_95,x_26_3,x17_19,x_98__99,x90_93,x375_425,Beets,x_2,x40_50,x2__375_500_,x30_45,x30_45,x75_90,x120_135,x30_45,x75_90,x_45,x_45,Top_dressed,x_22_5,x_45,x105_120,x87_5_112_5,x61_70,Meltan,x6,x650_750,x10_15,x750_850,x4_5_5_0,x17_19,x1,x85_90,x80_100,x6,x_9,x0_1,x5_10,x3_5,x9_10,x40_42_5,x55_60
state0,Jb_7,x25,x230_250,x42_44,x_450,x80_85,x11_4_20_4,x15_17,x_99_1_00,x80_85,x325_375,Other,x_2,x40_50,x1___375_,x30_45,x0_15,x105_120,x135_150,x45_60,x60_75,x75_90,x75_90,Placed,x47_5_57_5,x75_90,x135_150,x162_5_187_5,x61_70,Nevada,x6,x750_950,x25_35,x750_850,x3_0_3_5,x15_17,x1,x95_98,x80_100,x3,x_9,x0_1,x0_5,x3_5,x9_10,x42_5_45,x65_70
state0,Jb_1_,x5,x130_150,x40_42,x325_375,x93_95,x11_4_20_4,x15_17,x_99_1_00,x94_95,x325_375,Clovergrass,x_2,x30_40,x2__375_500_,x0_15,x0_15,x75_90,x120_135,x15_30,x15_30,x105_120,x75_90,Placed,x_22_5,x75_90,x90_105,x37_5_62_5,x_25,Canut,x5,x_350,x15_25,x850_950,x3_0_3_5,x13_15,x0,x_98,x_40,x2,x_9,x0_1,x0_5,x0_1,x9_10,x42_5_45,x_30
state0,JB_9,x_15,x230_250,x42_44,x_450,x98_99,x26_3_10_4,x15_17,x_97__98,x95_97,x_425,Cereals,x_2,x30_40,x2__375_500_,x30_45,x45_60,x60_75,x120_135,x15_30,x60_75,x45_60,x45_60,Top_dressed,x_22_5,x45_60,x105_120,x187_5_212_5,x61_70,Rima,x5,x750_950,x0_5,x650_700,x4_5_5_0,x17_19,x2,x_85,x60_80,x4,x_9,x1_5,x15_20,x3_5,x9_10,x42_5_45,x55_60
state4,Jb_1_,x15,x210_230,x44_46,x_450,x93_95,x21_4_26_4,x_15,x_99_1_00,x94_95,x375_425,Other,x_2,x30_40,x3___500_,x0_15,x0_15,x105_120,x120_135,x15_30,x15_30,x90_105,x90_105,Top_dressed,x_22_5,x135_150,x150_165,x37_5_62_5,x_25,Segu,x5,x350_450,x15_25,x_1050,x3_0_3_5,x13_15,x2,x_98,x40_60,x4,x9_5_10_0,x0_1,x0_5,x0_1,x9_10,x47_5_50,x40_50
state2,Jb_1_,x20,x50_70,x30_35,x175_225,x93_95,x26_3_10_4,x17_19,x_99_1_00,x94_95,x175_225,Other,x_2,x40_50,x3___500_,x0_15,x0_15,x105_120,x135_150,x30_45,x15_30,x120_135,x105_120,Top_dressed,x_22_5,x120_135,x135_150,x37_5_62_5,x61_70,Maresi,x5,x550_650,x0_5,x750_850,x4_5_5_0,x19_21,x2,x85_90,x40_60,x5,x10_0_10_5,x1_5,x10_15,x3_5,x9_10,x40_42_5,x40_50
state1,JB_4,x_5,x90_110,x55_60,x_175,x85_90,x_26_3,x17_19,x_99_1_00,x85_90,x_175,Other,x_2,x40_50,x2__375_500_,x15_30,x15_30,x90_105,x120_135,x45_60,x75_90,x_45,x_45,worked_in_solil,x_22_5,x_45,x105_120,x87_5_112_5,x25_40,G_363ta,x4,x_350,x25_35,x750_850,x3_0_3_5,x15_17,x_3,x_98,x80_100,x4,x11_0_11_5,x0_1,x0_5,x2_3,x9_10,x45_47_5,x_30
state1,Jb_1_,x20,x150_170,x50_55,x275_325,x93_95,x26_3_10_4,x21_23,x90__93,x85_90,x225_275,Cereals,x_2,x30_40,x3___500_,x0_15,x0_15,x105_120,x120_135,x0_15,x0_15,x105_120,x105_120,Top_dressed,x_22_5,x105_120,x105_120,x62_5_87_5,x41_50,Trebon,x5,x450_550,x0_5,x700_750,x_5_0,x17_19,x3,x_85,x_40,x6,x10_5_11_0,x1_5,x5_10,x3_5,x9_10,x42_5_45,x30_40
state4,JB_8,x_15,x70_90,x42_44,x175_225,x99_100,x_26_4,x_15,x93__95,x94_95,x175_225,Cereals,x_2,x30_40,x3___500_,x30_45,x45_60,x60_75,x120_135,x15_30,x60_75,x60_75,x60_75,Placed,x32_5_37_5,x60_75,x135_150,x187_5_212_5,x51_60,Selim,x5,x450_550,x0_5,x750_850,x4_5_5_0,x_23,x2,x_85,x80_100,x3,x11_0_11_5,x5_10,x15_20,x3_5,x9_10,x40_42_5,x40_50
state3,Jb_7,x_15,x170_190,x46_48,x375_424,x85_90,x21_4_26_4,x_15,x_99_1_00,x85_90,x325_375,Cereals,x_2,x40_50,x1___375_,x30_45,x45_60,x75_90,x120_135,x0_15,x60_75,x60_75,x60_75,Top_dressed,x11_5_27_5,x90_105,x150_165,x162_5_187_5,x51_60,Portia,x5,x550_650,x25_35,x850_950,x3_0_3_5,x21_23,x3,x_85,x80_100,x4,x_12_0,x1_5,x10_15,x3_5,x9_10,x45_47_5,x50_55
state3,JB_9,x20,x190_210,x44_46,x_450,x_80,x_26_3,x21_23,x90__93,x_75,x275_325,Clovergrass,x_2,x40_50,x1___375_,x15_30,x0_15,x90_105,x120_135,x0_15,x0_15,x105_120,x90_105,Placed,x_22_5,x90_105,x90_105,x187_5_212_5,x61_70,Delibes,x6,x650_750,x0_5,x700_750,x4_5_5_0,x_23,x0,x_85,x_40,x3,x9_5_10_0,x1_5,x5_10,x3_5,x9_10,x35_40,x50_55
state4,Jb_1_,x20,x210_230,x50_55,x375_424,x93_95,x_26_3,x19_21,x93__95,x85_90,x325_375,Beets,x_2,x40_50,x2__375_500_,x0_15,x0_15,x105_120,x135_150,x15_30,x0_15,x135_150,x105_120,Placed,x11_5_27_5,x105_120,x120_135,x37_5_62_5,x51_60,Delibes,x6,x650_750,x5_10,x850_950,x4_5_5_0,x17_19,x0,x90_95,x_40,x3,x10_5_11_0,x0_1,x0_5,x3_5,x9_10,x42_5_45,x60_65
state4,Jb_7,x_5,x150_170,x50_55,x275_325,x98_99,x26_3_10_4,x_15,x_99_1_00,x98__99,x275_325,Other,x_2,x50_60,x1___375_,x45_60,x45_60,x75_90,x135_150,x60_75,x_120,x_45,x_45,Placed,x_22_5,x_45,x165_180,x162_5_187_5,x51_60,Marina,x6,x650_750,x15_25,x950_1050,x3_5_4_0,x15_17,x2,x_98,x120_140,x4,x_12_0,x0_1,x0_5,x0_1,x9_10,x45_47_5,x65_70
state0,JB_5,x_25,x90_110,x30_35,x275_325,x98_99,x21_4_26_4,x19_21,x_97__98,x95_97,x275_325,Other,x_2,x30_40,x3___500_,x30_45,x60_75,x45_60,x120_135,x_105,x_120,x_45,x_45,Placed,x47_5_57_5,x_45,x165_180,x137_5_162_5,x51_60,Jarek,x6,x450_550,x25_35,x950_1050,x3_5_4_0,x19_21,x0,x95_98,x120_140,x3,x11_0_11_5,x0_1,x0_5,x3_5,x9_10,x47_5_50,x40_50
state1,Jb_7,x_25,x70_90,x48_50,x_175,x85_90,x11_4_20_4,x17_19,x_97__98,x85_90,x_175,Cer_rotation,x_2,x40_50,x1___375_,x45_60,x_75,x45_60,x120_135,x60_75,x_120,x_45,x_45,Top_dressed,x_22_5,x_45,x165_180,x137_5_162_5,x41_50,Digger,x5,x650_750,x15_25,x850_950,x3_5_4_0,x17_19,x_3,x_98,x120_140,x3,x_12_0,x0_1,x0_5,x2_3,x9_10,x40_42_5,x60_65
state4,JB_5,x25,x210_230,x55_60,x375_424,x98_99,x_26_3,x25_27,x90__93,x90_93,x325_375,Beets,x_2,x40_50,x3___500_,x30_45,x0_15,x105_120,x135_150,x0_15,x15_30,x120_135,x105_120,Placed,x37_5_47_5,x105_120,x135_150,x112_5_137_5,x51_60,Alis,x3,x650_750,x15_25,x750_850,x4_0_4_5,x21_23,x0,x_85,x40_60,x2,x9_5_10_0,x5_10,x25_30,x3_5,x9_10,x42_5_45,x55_60
state1,JB_8,x15,x70_90,x30_35,x225_275,x85_90,x_26_4,x15_17,x_99_1_00,x85_90,x175_225,Cereals,x_2,x40_50,x3___500_,x15_30,x0_15,x120_135,x135_150,x30_45,x45_60,x75_90,x75_90,Top_dressed,x_22_5,x75_90,x120_135,x187_5_212_5,x41_50,Optic,x7,x350_450,x_35,x850_950,x_3_0,x17_19,x1,x95_98,x60_80,x3,x_9,x0_1,x0_5,x3_5,x9_10,x42_5_45,x30_40
state4,JB_5,x_25,x70_90,x42_44,x175_225,x97_98,x_26_4,x_15,x_99_1_00,x95_97,x175_225,Clovergrass,x_2,x50_60,x2__375_500_,x30_45,x60_75,x45_60,x135_150,x90_105,x_120,x_45,x_45,Top_dressed,x_22_5,x_45,x150_165,x112_5_137_5,x25_40,Princesse,x4,x550_650,x15_25,x850_950,x3_5_4_0,x13_15,x3,x_98,x120_140,x3,x_12_0,x0_1,x0_5,x0_1,x9_10,x45_47_5,x50_55
state4,JB_6,x_5,x50_70,x44_46,x_175,x80_85,x26_3_10_4,x17_19,x_98__99,x80_85,x_175,Beets,x_2,x40_50,x2__375_500_,x30_45,x30_45,x75_90,x120_135,x30_45,x75_90,x45_60,x45_60,worked_in_solil,x27_5_32_5,x_45,x105_120,x187_5_212_5,x61_70,Etna,x4,x750_950,x15_25,x550_600,x4_0_4_5,x15_17,x0,x_85,x80_100,x2,x10_0_10_5,x1_5,x20_25,x3_5,x9_10,x35_40,x40_50
state3,Jb_7,x_15,x70_90,x44_46,x175_225,x99_100,x_26_3,x23_25,x93__95,x94_95,x175_225,Cer_rotation,x_2,x50_60,x2__375_500_,x45_60,x60_75,x60_75,x135_150,x30_45,x105_120,x_45,x_45,Placed,x_22_5,x_45,x135_150,x162_5_187_5,x51_60,andre,x5,x750_950,x25_35,x750_850,x_3_0,x15_17,x3,x95_98,x100_120,x2,x10_0_10_5,x0_1,x0_5,x2_3,x9_10,x35_40,x65_70
state2,JB_5,x_5,x70_90,x48_50,x_175,x95_97,x_26_3,x17_19,x_99_1_00,x95_97,x_175,Clovergrass,x_2,x40_50,x1___375_,x30_45,x30_45,x60_75,x135_150,x15_30,x60_75,x75_90,x60_75,worked_in_solil,x_22_5,x75_90,x150_165,x112_5_137_5,x_70,Amber,x6,x950_1150,x25_35,x700_750,x3_5_4_0,x19_21,x_1,x_85,x80_100,x3,x_9,x5_10,x25_30,x3_5,x9_10,x40_42_5,x70_80
state2,JB_4,x20,x170_190,x46_48,x375_424,x85_90,x21_4_26_4,x15_17,x_99_1_00,x85_90,x325_375,Clovergrass,x_2,x40_50,x2__375_500_,x15_30,x0_15,x90_105,x135_150,x90_105,x90_105,x45_60,x45_60,worked_in_solil,x27_5_32_5,x45_60,x150_165,x87_5_112_5,x51_60,Alis,x3,x750_950,x25_35,x850_950,x3_0_3_5,x17_19,x_1,x95_98,x100_120,x3,x11_0_11_5,x0_1,x0_5,x3_5,x9_10,x35_40,x70_80
state3,JB_2,x20,x50_70,x35_40,x_175,x98_99,x_26_3,x17_19,x_95__97,x94_95,x_175,Beets,x_2,x40_50,x1___375_,x30_45,x15_30,x90_105,x135_150,x45_60,x60_75,x60_75,x60_75,Placed,x_22_5,x60_75,x120_135,x112_5_137_5,x61_70,Maresi,x5,x550_650,x0_5,x700_750,x4_0_4_5,x17_19,x2,x_85,x80_100,x5,x11_0_11_5,x1_5,x10_15,x3_5,x9_10,x40_42_5,x40_50
state0,Jb_1_,x_20,x190_210,x42_44,x_450,x99_100,x_26_3,x19_21,x_99_1_00,x98__99,x_425,Beets,x_2,x30_40,x2__375_500_,x15_30,x30_45,x60_75,x120_135,x15_30,x60_75,x60_75,x60_75,Top_dressed,x_22_5,x90_105,x150_165,x62_5_87_5,x25_40,Canut,x3,x750_950,x10_15,x850_950,x4_5_5_0,x_13,x2,x_98,x80_100,x2,x9_5_10_0,x0_1,x0_5,x0_1,x9_10,x45_47_5,x70_80
state0,Jb_1_,x0,x170_190,x50_55,x325_375,x98_99,x11_4_20_4,x_15,x_99_1_00,x98__99,x325_375,Other,x_2,x30_40,x2__375_500_,x0_15,x0_15,x105_120,x_120,x15_30,x30_45,x60_75,x60_75,Placed,x11_5_27_5,x60_75,x105_120,x62_5_87_5,x51_60,Miralix,x6,x450_550,x15_25,x850_950,x4_0_4_5,x17_19,x1,x95_98,x40_60,x4,x10_5_11_0,x0_1,x0_5,x3_5,x9_10,x40_42_5,x40_50
state4,JB_4,x10,x230_250,x35_40,x_450,x80_85,x_26_3,x19_21,x_95__97,x75_80,x325_375,Other,x_2,x30_40,x3___500_,x15_30,x0_15,x105_120,x120_135,x45_60,x60_75,x45_60,x45_60,Top_dressed,x_22_5,x_45,x90_105,x137_5_162_5,x_70,Blenheim,x7,x650_750,x25_35,x700_750,x3_5_4_0,x21_23,x__1,x_85,x60_80,x2,x_9,x5_10,x20_25,x3_5,x9_10,x40_42_5,x50_55
state4,JB_8,x_5,x190_210,x55_60,x325_375,x80_85,x26_3_10_4,x17_19,x_99_1_00,x80_85,x275_325,Cer_rotation,x_2,x40_50,x3___500_,x30_45,x30_45,x75_90,x135_150,x30_45,x75_90,x45_60,x45_60,Top_dressed,x_22_5,x60_75,x150_165,x187_5_212_5,x61_70,Heron,x5,x950_1150,x0_5,x650_700,x4_5_5_0,x19_21,x_1,x_85,x80_100,x4,x11_5_12_0,x5_10,x25_30,x3_5,x9_10,x35_40,x70_80
state4,JB_3,x5,x70_90,x46_48,x_175,x_80,x26_3_10_4,x19_21,x_98__99,x75_80,x_175,Other,x_2,x30_40,x2__375_500_,x0_15,x0_15,x105_120,x_120,x15_30,x15_30,x75_90,x75_90,Placed,x_22_5,x75_90,x105_120,x37_5_62_5,x25_40,Princesse,x5,x350_450,x0_5,x750_850,x4_5_5_0,x13_15,x2,x_98,x_40,x3,x11_5_12_0,x0_1,x0_5,x1_2,x9_10,x42_5_45,x30_40
state1,JB_4,x0,x170_190,x30_35,x_450,x97_98,x_26_4,x_15,x93__95,x90_93,x375_425,Cer_rotation,x_2,x40_50,x1___375_,x15_30,x15_30,x90_105,x135_150,x0_15,x15_30,x120_135,x90_105,worked_in_solil,x37_5_47_5,x60_75,x90_105,x137_5_162_5,x41_50,Jill,x3,x450_550,x0_5,x650_700,x4_0_4_5,x15_17,x1,x85_90,x40_60,x3,x11_5_12_0,x1_5,x5_10,x3_5,x9_10,x35_40,x30_40
state2,JB_6,x10,x110_130,x50_55,x225_275,x80_85,x_26_4,x21_23,x93__95,x75_80,x175_225,Clovergrass,x_2,x50_60,x3___500_,x45_60,x30_45,x75_90,x135_150,x_105,x_120,x_45,x_45,Placed,x_57_5,x_45,x150_165,x137_5_162_5,x25_40,Digger,x5,x650_750,x_35,x850_950,x3_0_3_5,x17_19,x3,x95_98,x120_140,x4,x_12_0,x0_1,x0_5,x2_3,x9_10,x45_47_5,x60_65
state1,JB_6,x20,x90_110,x42_44,x225_275,x98_99,x_26_3,x21_23,x_97__98,x95_97,x225_275,Clovergrass,x_2,x30_40,x1___375_,x45_60,x30_45,x45_60,x120_135,x_105,x_120,x_45,x_45,Top_dressed,x_22_5,x_45,x165_180,x162_5_187_5,x61_70,Derkado,x4,x750_950,x15_25,x750_850,x3_5_4_0,x17_19,x0,x85_90,x120_140,x4,x_12_0,x0_1,x5_10,x3_5,x9_10,x45_47_5,x65_70
state1,JB_9,x15,x90_110,x46_48,x175_225,x85_90,x_26_3,x17_19,x_95__97,x80_85,x_175,Other,x_2,x40_50,x3___500_,x45_60,x30_45,x75_90,x135_150,x_105,x_120,x_45,x_45,Top_dressed,x_22_5,x_45,x150_165,x162_5_187_5,x51_60,andre,x2,x650_750,x10_15,x850_950,x3_0_3_5,x17_19,x__1,x90_95,x120_140,x1,x9_0_9_5,x0_1,x0_5,x3_5,x9_10,x40_42_5,x60_65
state0,JB_9,x10,x90_110,x40_42,x225_275,x98_99,x11_4_20_4,x15_17,x_99_1_00,x98__99,x225_275,Other,x_2,x40_50,x2__375_500_,x30_45,x15_30,x90_105,x120_135,x45_60,x75_90,x_45,x_45,worked_in_solil,x_22_5,x_45,x105_120,x162_5_187_5,x51_60,Peel,x6,x350_450,x0_5,x700_750,x4_0_4_5,x17_19,x__1,x_85,x80_100,x2,x9_5_10_0,x1_5,x20_25,x3_5,x9_10,x42_5_45,x_30
state0,JB_8,x_5,x70_90,x48_50,x_175,x90_93,x_26_3,x23_25,x90__93,x80_85,x_175,Beets,x_2,x40_50,x1___375_,x45_60,x45_60,x60_75,x120_135,x60_75,x_120,x_45,x_45,Top_dressed,x_22_5,x_45,x165_180,x162_5_187_5,x61_70,Semal,x5,x550_650,x15_25,x850_950,x4_0_4_5,x21_23,x_1,x_85,x120_140,x2,x9_5_10_0,x1_5,x20_25,x3_5,x9_10,x42_5_45,x50_55
state1,Jb_1_,x15,x110_130,x42_44,x275_325,x80_85,x11_4_20_4,x15_17,x_99_1_00,x80_85,x225_275,Cer_rotation,x_2,x30_40,x3___500_,x0_15,x0_15,x105_120,x120_135,x0_15,x0_15,x120_135,x105_120,Top_dressed,x27_5_32_5,x75_90,x75_90,x37_5_62_5,x25_40,Cooper,x5,x350_450,x25_35,x650_700,x3_5_4_0,x15_17,x1,x85_90,x_40,x1,x9_0_9_5,x1_5,x5_10,x3_5,x9_10,x40_42_5,x_30
state3,JB_8,x25,x210_230,x50_55,x375_424,x85_90,x_26_3,x19_21,x_99_1_00,x85_90,x325_375,Cer_rotation,x_2,x50_60,x2__375_500_,x15_30,x0_15,x120_135,x150_165,x30_45,x30_45,x120_135,x120_135,Top_dressed,x_22_5,x60_75,x90_105,x187_5_212_5,x61_70,Trebon,x5,x450_550,x25_35,x850_950,x3_5_4_0,x17_19,x_3,x95_98,x60_80,x3,x10_5_11_0,x0_1,x0_5,x2_3,x9_10,x42_5_45,x40_50
state3,JB_4,x0,x150_170,x42_44,x325_375,x95_97,x_26_3,x23_25,x_99_1_00,x95_97,x325_375,Cereals,x_2,x30_40,x1___375_,x30_45,x30_45,x75_90,x_120,x15_30,x60_75,x_45,x_45,Top_dressed,x27_5_32_5,x_45,x90_105,x87_5_112_5,x61_70,Miralix,x6,x550_650,x25_35,x700_750,x3_5_4_0,x19_21,x0,x_85,x60_80,x4,x_12_0,x5_10,x25_30,x3_5,x9_10,x35_40,x40_50
state3,JB_3,x_20,x190_210,x46_48,x_450,x93_95,x_26_4,x_15,x_97__98,x90_93,x375_425,Clovergrass,x_2,x30_40,x3___500_,x15_30,x30_45,x45_60,x120_135,x30_45,x75_90,x_45,x_45,worked_in_solil,x_22_5,x_45,x105_120,x62_5_87_5,x25_40,Etna,x4,x650_750,x10_15,x650_700,x4_0_4_5,x15_17,x0,x90_95,x80_100,x1,x9_0_9_5,x1_5,x5_10,x3_5,x9_10,x40_42_5,x40_50
state4,JB_2,x_15,x230_250,x55_60,x375_424,x_80,x_26_3,x19_21,x90__93,x_75,x275_325,Beets,x_2,x40_50,x2__375_500_,x15_30,x30_45,x75_90,x120_135,x45_60,x75_90,x_45,x_45,Placed,x_22_5,x_45,x105_120,x137_5_162_5,x51_60,Baracuda,x6,x750_950,x5_10,x750_850,x4_5_5_0,x15_17,x2,x95_98,x80_100,x3,x10_5_11_0,x0_1,x0_5,x3_5,x9_10,x40_42_5,x65_70
state1,JB_6,x5,x110_130,x50_55,x225_275,x98_99,x_26_4,x_15,x_99_1_00,x97_98,x225_275,Cereals,x_2,x40_50,x1___375_,x30_45,x30_45,x90_105,x120_135,x15_30,x45_60,x75_90,x75_90,worked_in_solil,x32_5_37_5,x60_75,x120_135,x187_5_212_5,x41_50,Caminant,x6,x650_750,x10_15,x700_750,x4_0_4_5,x15_17,x1,x90_95,x60_80,x4,x_12_0,x0_1,x0_5,x3_5,x9_10,x47_5_50,x50_55
state4,JB_5,x25,x90_110,x46_48,x175_225,x97_98,x11_4_20_4,x_15,x_99_1_00,x97_98,x175_225,Cer_rotation,x_2,x40_50,x1___375_,x30_45,x0_15,x105_120,x120_135,x45_60,x60_75,x45_60,x45_60,Top_dressed,x_22_5,x60_75,x135_150,x137_5_162_5,x41_50,Teal,x4,x650_750,x_35,x950_1050,x3_0_3_5,x15_17,x1,x_98,x60_80,x4,x_9,x0_1,x0_5,x0_1,x9_10,x42_5_45,x65_70
state3,Jb_1_,x20,x190_210,x48_50,x375_424,x98_99,x26_3_10_4,x19_21,x_99_1_00,x98__99,x375_425,Cereals,x_2,x40_50,x3___500_,x0_15,x0_15,x120_135,x120_135,x0_15,x0_15,x105_120,x105_120,worked_in_solil,x_22_5,x105_120,x105_120,x62_5_87_5,x51_60,Miralix,x6,x550_650,x10_15,x650_700,x4_0_4_5,x19_21,x2,x_85,x_40,x3,x10_5_11_0,x5_10,x20_25,x3_5,x9_10,x40_42_5,x40_50
