Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,AMDewptCalPl,ScenRelAMIns,LIfr12ZDENSd,AMInsWliScen,AMInstabMt,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,CapInScen,LatestCIN,LLIW,CurPropConv,Dewpoints,LoLevMoistAd,InsChange,InsSclInScen,LowLLapse,MeanRH,MidLLapse,MountainFcst,MvmtFeatures,ScenRel3_4,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Aug20_Sep15,D,CThruK,None,LessThanAve,Neutral,CDEJ,N5GtLIGt_8,Average,Strong,StrongUp,Down,WeakUp,WeakUp,WeakUp,Neutral,Dry,Neutral,Wet,PC,Clear,PC,PC,Strong,StrongWest,Strong,Weak,Weak,Marked,LittleChange,LittleChange,LessThanAve,PartInhibit,Strong,Strong,LowSHighN,WeakPos,LittleChange,Average,Steep,Dry,CloseToDryAd,XNIL,OtherRapid,D,D,XNIL,SIG,SIG,Other,Other,NegToPos,Moving,SWQuad,Westerly,LongAnticyc
Jun15_Jul1,H,CThruK,TotalInhibit,MoreThanAve,Stability,H,N5GtLIGt_8,MoreUnstable,Strong,WeakUp,Neutral,StrongUp,StrongUp,StrongUp,Neutral,Neutral,Wet,VeryWet,PC,PC,PC,Cloudy,Strong,DCVZFavor,None,Weak,Strong,Marked,IncCapDecIns,Increasing,MoreThanAve,PartInhibit,Moderate,None,LowMtsHighPl,Negative,LittleChange,MoreUnstable,ModerateOrLe,Average,ModerateOrLe,SIG,MarkedUpper,HI,H,SIG,SIG,SIG,Other,None,PosToNeg,Moving,AllElse,LVorOther,E_NE
Jun15_Jul1,D,CThruK,PartInhibit,Average,Instability,CDEJ,N5GtLIGt_8,MoreUnstable,None,WeakUp,Down,Neutral,Neutral,Neutral,Wet,Neutral,Wet,Wet,Clear,PC,Clear,Clear,Strong,StrongWest,Strong,None,Strong,Marked,DecCapIncIns,Decreasing,LessThanAve,None,Moderate,Moderate,LowMtsHighPl,Neutral,Increasing,MoreUnstable,CloseToDryAd,Average,CloseToDryAd,SVR,OtherRapid,D,D,XNIL,XNIL,SVR,Other,None,SigNegative,None,NWQuad,LVorOther,DenvCyclone
Aug11_Aug20,F,CThruK,PartInhibit,Average,Neutral,F,N5GtLIGt_8,Average,Weak,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Wet,Wet,Wet,PC,Clear,PC,PC,Weak,Westerly,Weak,None,Weak,Some,LittleChange,LittleChange,Average,PartInhibit,Moderate,None,HighEvrywher,Neutral,Increasing,Average,Steep,VeryMoist,ModerateOrLe,XNIL,StrongFront,ACEFK,F,XNIL,XNIL,XNIL,Other,None,LittleChange,None,AllElse,LVorOther,LV
Aug20_Sep15,C,CThruK,PartInhibit,LessThanAve,Stability,CDEJ,N1GtLIGt_4,LessUnstable,None,Neutral,Down,Neutral,Neutral,Neutral,Wet,Neutral,Wet,Wet,Clear,Clear,Clear,Clear,Weak,Westerly,Weak,None,None,Some,DecCapIncIns,Decreasing,LessThanAve,None,Unfavorable,None,LowEvrywhere,Negative,LittleChange,LessUnstable,CloseToDryAd,Dry,Steep,SIG,NoMajor,ACEFK,C,XNIL,XNIL,SIG,Other,E_W_S,NegToPos,Other,NWQuad,Westerly,LongAnticyc
May15_Jun14,E,CThruK,PartInhibit,Average,Instability,CDEJ,N5GtLIGt_8,MoreUnstable,Strong,Neutral,WeakUp,Neutral,Neutral,Neutral,Wet,Neutral,Wet,Wet,Cloudy,Cloudy,Cloudy,Cloudy,Strong,Other,None,None,None,None,LittleChange,LittleChange,Average,None,Weak,Slight,LowSHighN,Neutral,Increasing,MoreUnstable,CloseToDryAd,Average,ModerateOrLe,SIG,NoMajor,ACEFK,E,SIG,SIG,SIG,Other,None,LittleChange,None,SWQuad,LVorOther,SEQuad
Aug20_Sep15,D,CThruK,PartInhibit,Average,Neutral,CDEJ,N1GtLIGt_4,LessUnstable,Weak,Down,StronUp,Neutral,Neutral,Neutral,Wet,VeryWet,Wet,Wet,Clear,Clear,Clear,Clear,Strong,Other,Weak,None,None,None,IncCapDecIns,Increasing,MoreThanAve,PartInhibit,Weak,None,LowMtsHighPl,Negative,Decreasing,LessUnstable,Stable,Dry,Steep,SIG,OtherRapid,D,D,XNIL,SVR,SVR,DryMMoistL,None,SigNegative,Other,NWQuad,Westerly,WidespdDnsl
Aug20_Sep15,E,CThruK,TotalInhibit,MoreThanAve,Instability,CDEJ,N1GtLIGt_4,Average,Weak,StrongUp,Neutral,StrongUp,WeakUp,WeakUp,Dry,Dry,Wet,VeryWet,PC,PC,PC,PC,Weak,StrongWest,Strong,Weak,Weak,Some,LittleChange,LittleChange,MoreThanAve,Stifling,Moderate,None,LowEvrywhere,StrongPos,Increasing,MoreUnstable,Steep,VeryMoist,ModerateOrLe,SIG,NoMajor,ACEFK,E,SVR,SVR,SVR,MoistMDryL,E_W_N,SigPositive,None,SWQuad,Westerly,LV
May15_Jun14,B,AB,PartInhibit,Average,Instability,ABI,N1GtLIGt_4,MoreUnstable,None,Neutral,StronUp,StrongUp,StrongUp,StrongUp,Neutral,Dry,Dry,Neutral,PC,Cloudy,Cloudy,Cloudy,None,Other,None,None,None,None,IncCapDecIns,Increasing,MoreThanAve,Stifling,Weak,None,HighEvrywher,Negative,Decreasing,MoreUnstable,ModerateOrLe,VeryMoist,Steep,XNIL,NoMajor,B,B,SIG,XNIL,XNIL,Other,DenvCyclone,PosToNeg,None,AllElse,LVorOther,DenvCyclone
Jun15_Jul1,D,CThruK,PartInhibit,Average,Stability,CDEJ,N1GtLIGt_4,Average,Strong,WeakUp,StronUp,StrongUp,StrongUp,StrongUp,VeryWet,Dry,VeryWet,VeryWet,Clear,Cloudy,Clear,Cloudy,Strong,Westerly,Strong,None,Strong,Some,LittleChange,LittleChange,Average,None,Weak,Moderate,LowNHighS,WeakPos,Increasing,MoreUnstable,Stable,Dry,CloseToDryAd,SIG,MarkedUpper,D,D,XNIL,XNIL,SIG,Other,None,PosToNeg,Moving,AllElse,LVorOther,SEQuad
Jul2_Jul15,A,AB,None,LessThanAve,Neutral,ABI,N1GtLIGt_4,MoreUnstable,None,StrongUp,WeakUp,Down,Neutral,Neutral,Wet,Dry,Neutral,Wet,Clear,PC,PC,PC,Weak,DCVZFavor,Weak,Strong,Strong,Some,LittleChange,LittleChange,LessThanAve,None,Moderate,Moderate,LowMtsHighPl,WeakPos,Decreasing,MoreUnstable,ModerateOrLe,Dry,Steep,SIG,MarkedUpper,ACEFK,A,SIG,SIG,SIG,DryMMoistL,E_W_N,NegToPos,Other,SWQuad,Westerly,SEQuad
Jul16_Aug10,C,CThruK,PartInhibit,Average,Neutral,CDEJ,N1GtLIGt_4,Average,Weak,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,VeryWet,VeryWet,Clear,Cloudy,Clear,Clear,Strong,StrongWest,Weak,Weak,Weak,Marked,DecCapIncIns,Decreasing,Average,None,Unfavorable,None,LowAtStation,Negative,Decreasing,LessUnstable,Steep,Average,ModerateOrLe,SVR,NoMajor,ACEFK,C,SIG,SIG,SVR,MoistMDryL,E_W_S,LittleChange,Other,AllElse,LVorOther,LongAnticyc
Jul16_Aug10,C,CThruK,PartInhibit,Average,Instability,CDEJ,N5GtLIGt_8,MoreUnstable,Weak,WeakUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,VeryWet,Wet,VeryWet,Clear,PC,Clear,PC,Weak,StrongWest,Weak,None,Weak,Some,LittleChange,LittleChange,Average,Stifling,Weak,Slight,LowEvrywhere,Neutral,LittleChange,MoreUnstable,Steep,Dry,ModerateOrLe,SIG,OtherRapid,ACEFK,C,SIG,SIG,SIG,MoistMDryL,MovingFtorOt,NegToPos,None,NWQuad,Westerly,LongAnticyc
Aug11_Aug20,A,AB,TotalInhibit,MoreThanAve,Stability,ABI,N5GtLIGt_8,LessUnstable,Weak,WeakUp,Neutral,StrongUp,StrongUp,StrongUp,Wet,Neutral,Wet,VeryWet,PC,Clear,PC,Cloudy,Strong,StrongWest,Strong,Weak,Strong,Marked,DecCapIncIns,Decreasing,MoreThanAve,PartInhibit,Weak,None,LowMtsHighPl,Neutral,LittleChange,Average,CloseToDryAd,Average,ModerateOrLe,XNIL,MarkedUpper,ACEFK,A,SVR,SVR,SVR,Other,DenvCyclone,NegToPos,None,SWQuad,Westerly,DenvCyclone
May15_Jun14,E,CThruK,PartInhibit,LessThanAve,Stability,CDEJ,N5GtLIGt_8,LessUnstable,None,WeakUp,Down,Neutral,Neutral,Neutral,VeryWet,Wet,VeryWet,Wet,Clear,Cloudy,Clear,Clear,Weak,StrongWest,Strong,Weak,Strong,Some,DecCapIncIns,Decreasing,LessThanAve,Stifling,Weak,None,LowAtStation,Neutral,LittleChange,LessUnstable,Steep,Average,ModerateOrLe,SIG,NoMajor,ACEFK,E,SIG,XNIL,SIG,MoistMDryL,None,LittleChange,None,AllElse,Westerly,WidespdDnsl
Jun15_Jul1,C,CThruK,PartInhibit,Average,Stability,CDEJ,N1GtLIGt_4,Average,Weak,WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Dry,Dry,Neutral,PC,PC,Clear,Clear,Strong,DCVZFavor,Strong,Strong,Strong,Some,DecCapIncIns,Decreasing,LessThanAve,PartInhibit,Strong,Moderate,LowNHighS,Negative,LittleChange,Average,Steep,Average,CloseToDryAd,SVR,NoMajor,ACEFK,C,XNIL,SIG,SVR,Other,E_W_N,SigPositive,None,SWQuad,LVorOther,LongAnticyc
Jul2_Jul15,C,CThruK,PartInhibit,Average,Stability,CDEJ,N1GtLIGt_4,Average,Weak,Down,Neutral,WeakUp,Down,Down,Dry,Neutral,VeryWet,Wet,Clear,Clear,Clear,Clear,Strong,DCVZFavor,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,MoreThanAve,PartInhibit,Strong,Strong,LowAtStation,WeakPos,Increasing,MoreUnstable,Steep,Average,CloseToDryAd,SIG,NoMajor,ACEFK,C,XNIL,XNIL,SIG,MoistMDryL,None,SigPositive,Other,NWQuad,Westerly,WidespdDnsl
Aug11_Aug20,E,CThruK,Stifling,MoreThanAve,Neutral,CDEJ,LILt_8,MoreUnstable,Weak,WeakUp,Neutral,StrongUp,WeakUp,WeakUp,VeryWet,Neutral,Wet,Wet,PC,Clear,PC,PC,Weak,Westerly,Weak,Weak,Weak,None,IncCapDecIns,Increasing,MoreThanAve,PartInhibit,Weak,None,LowAtStation,Neutral,LittleChange,MoreUnstable,Stable,Average,ModerateOrLe,SIG,NoMajor,ACEFK,E,SIG,SIG,SIG,MoistMDryL,E_W_N,LittleChange,None,SWQuad,Westerly,LV
Aug20_Sep15,K,CThruK,Stifling,MoreThanAve,Instability,K,N1GtLIGt_4,MoreUnstable,Weak,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cloudy,PC,Cloudy,PC,Weak,StrongWest,Weak,Strong,Strong,Some,IncCapDecIns,Increasing,MoreThanAve,None,Strong,Moderate,Other,Negative,Decreasing,LessUnstable,Steep,Average,ModerateOrLe,SIG,StrongFront,ACEFK,K,XNIL,XNIL,SIG,DryMMoistL,MovingFtorOt,NegToPos,Moving,NWQuad,Westerly,WidespdDnsl
Aug20_Sep15,K,CThruK,None,LessThanAve,Stability,K,LILt_8,Average,Strong,Neutral,Down,WeakUp,Down,Down,Neutral,Neutral,Neutral,Neutral,PC,Clear,Clear,Clear,Strong,DCVZFavor,Weak,None,None,Marked,IncCapDecIns,Increasing,Average,None,Weak,Moderate,LowMtsHighPl,Neutral,LittleChange,Average,ModerateOrLe,Dry,ModerateOrLe,SIG,StrongFront,ACEFK,K,XNIL,SVR,SVR,DryMMoistL,MovingFtorOt,SigPositive,QStationary,NWQuad,Westerly,WidespdDnsl
Aug11_Aug20,F,CThruK,Stifling,Average,Stability,F,N1GtLIGt_4,Average,Strong,Down,Neutral,WeakUp,Neutral,Neutral,VeryWet,Dry,Dry,Dry,PC,Clear,Clear,Clear,Strong,StrongWest,Strong,Strong,Weak,Marked,DecCapIncIns,Decreasing,Average,PartInhibit,Weak,Slight,HighEvrywher,WeakPos,Increasing,MoreUnstable,Steep,VeryMoist,ModerateOrLe,SVR,NoMajor,ACEFK,F,XNIL,XNIL,SVR,Other,Other,LittleChange,None,AllElse,LVorOther,LV
May15_Jun14,I,CThruK,Stifling,MoreThanAve,Instability,ABI,N1GtLIGt_4,Average,Weak,Neutral,Neutral,Down,Neutral,Neutral,Dry,Wet,Neutral,Dry,PC,PC,Clear,Clear,Strong,Other,None,Weak,None,None,LittleChange,LittleChange,MoreThanAve,PartInhibit,Moderate,Slight,LowMtsHighPl,Negative,Increasing,Average,Steep,Dry,CloseToDryAd,XNIL,MarkedUpper,HI,I,SIG,SIG,SIG,DryMMoistL,Other,NegToPos,QStationary,SWQuad,Westerly,LongAnticyc
