lai_0,meldug_1,lai_1,temp_1,straaling_1,foto_1,dm_1,middel_1,nedboer_1,mikro_1,meldug_2,lai_2,temp_2,straaling_2,foto_2,dm_2,middel_2,nedboer_2,mikro_2,meldug_3,lai_3,temp_3,straaling_3,foto_3,dm_3,middel_3,nedboer_3,mikro_3,meldug_4,lai_4,temp_4,straaling_4,foto_4,dm_4,udbytte
x_5___3_5,x_5___1__,x_5___3_5,x5_0___16_9_C,x00___249_MJ_m2,x_45_kg_m2,x_26_kg_m2,x_50_l_ha,x___3,V_dt_og_koldt,x_00___0_01__,x_5___3_5,x5_0___16_9_C,x50___199_MJ_m2,x_40_kg_m2,x_46_kg_m2,x_25_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_5___2_5,x5_0___16_9_C,x00___349_MJ_m2,x_70_kg_m2,x_86_kg_m2,x_50_l_ha,x___3,V_dt_og_varmt,x_00___0_01__,x_0___0_5,x5_0___16_9_C,x50___399_MJ_m2,x_05_kg_m2,x_74_kg_m2,x3___65_hkg_ha
x_5___6_5,x0___25__,x_5___5_5,x3_0___14_9_C,x00___249_MJ_m2,x_55_kg_m2,x_30_kg_m2,x_50_l_ha,x___3,T_rt_og_varmt,x_5___1__,x_5___5_5,x5_0___16_9_C,x50___199_MJ_m2,x_50_kg_m2,x_58_kg_m2,x_75_l_ha,x___3,V_dt_og_koldt,x_00___0_01__,x_5___3_5,x3_0___14_9_C,x00___349_MJ_m2,x_90_kg_m2,x_04_kg_m2,x_25_l_ha,x___3,T_rt_og_varmt,x_00___0_01__,x_5___1_5,x___17_0_C,x__300_MJ_m2,x_30_kg_m2,x_08_kg_m2,x1___93_hkg_ha
x_5___4_5,x0___100__,x_0___0_5,x__13_0_C,x50___199_MJ_m2,x_00_kg_m2,x_00_kg_m2,x_75_l_ha,x___1,T_rt_og_koldt,x_5___1__,x_0___0_5,x3_0___14_9_C,x00___249_MJ_m2,x_10_kg_m2,x_00_kg_m2,x_25_l_ha,x___3,T_rt_og_koldt,x_00___0_01__,x_0___0_5,x5_0___16_9_C,x50___399_MJ_m2,x_20_kg_m2,x_08_kg_m2,x_25_l_ha,x___4,V_dt_og_varmt,x_00___0_01__,x_0___0_5,x5_0___16_9_C,x00___349_MJ_m2,x_00_kg_m2,x_00_kg_m2,x___1_hkg_ha
x_5___6_5,x___2__,x__6_5,x3_0___14_9_C,x50___199_MJ_m2,x_55_kg_m2,x_30_kg_m2,x_50_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x__6_5,x3_0___14_9_C,x50___199_MJ_m2,x_55_kg_m2,x_56_kg_m2,x_75_l_ha,x___3,V_dt_og_varmt,x_00___0_01__,x_5___4_5,x5_0___16_9_C,x50___399_MJ_m2,x_85_kg_m2,x_96_kg_m2,x_50_l_ha,x___1,V_dt_og_koldt,x_00___0_01__,x_5___1_5,x3_0___14_9_C,x00___349_MJ_m2,x_45_kg_m2,x_12_kg_m2,x5___97_hkg_ha
x_5___6_5,x5___50__,x_5___3_5,x5_0___16_9_C,x50___199_MJ_m2,x_40_kg_m2,x_20_kg_m2,x_50_l_ha,x___1,T_rt_og_varmt,x_5___1__,x_5___3_5,x5_0___16_9_C,x50___199_MJ_m2,x_40_kg_m2,x_40_kg_m2,x_75_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___2_5,x5_0___16_9_C,x00___349_MJ_m2,x_65_kg_m2,x_74_kg_m2,x_l_ha,x___3,V_dt_og_koldt,x_00___0_01__,x_5___1_5,x___17_0_C,x__300_MJ_m2,x_40_kg_m2,x_86_kg_m2,x3___75_hkg_ha
x_5___6_5,x___2__,x_5___5_5,x___17_0_C,x50___199_MJ_m2,x_45_kg_m2,x_20_kg_m2,x_75_l_ha,x___4,V_dt_og_varmt,x_00___0_01__,x_5___5_5,x3_0___14_9_C,x50___199_MJ_m2,x_55_kg_m2,x_52_kg_m2,x_25_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___3_5,x5_0___16_9_C,x00___349_MJ_m2,x_75_kg_m2,x_96_kg_m2,x_25_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_5___1_5,x5_0___16_9_C,x00___349_MJ_m2,x_35_kg_m2,x_98_kg_m2,x3___85_hkg_ha
x_5___6_5,x5___50__,x_5___4_5,x___17_0_C,x___250_MJ_m2,x_60_kg_m2,x_36_kg_m2,x_25_l_ha,x___4,V_dt_og_varmt,x0___25__,x_5___3_5,x3_0___14_9_C,x___250_MJ_m2,x_60_kg_m2,x_66_kg_m2,x_l_ha,x___1,T_rt_og_koldt,x___2__,x_5___2_5,x5_0___16_9_C,x00___349_MJ_m2,x_70_kg_m2,x_02_kg_m2,x_50_l_ha,x___4,V_dt_og_varmt,x_00___0_01__,x_5___1_5,x___17_0_C,x__300_MJ_m2,x_50_kg_m2,x_18_kg_m2,x9___101_hkg_ha
x_5___6_5,x0___25__,x_5___6_5,x3_0___14_9_C,x__150_MJ_m2,x_45_kg_m2,x_22_kg_m2,x_75_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___6_5,x5_0___16_9_C,x00___249_MJ_m2,x_65_kg_m2,x_56_kg_m2,x_75_l_ha,x___1,V_dt_og_varmt,x_00___0_01__,x_5___4_5,x5_0___16_9_C,x50___399_MJ_m2,x_95_kg_m2,x_08_kg_m2,x_75_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___1_5,x5_0___16_9_C,x__300_MJ_m2,x_55_kg_m2,x_28_kg_m2,x07___109_hkg_ha
x_5___6_5,x_5___1__,x_5___5_5,x3_0___14_9_C,x50___199_MJ_m2,x_55_kg_m2,x_32_kg_m2,x_l_ha,x___3,V_dt_og_koldt,x___2__,x_5___5_5,x__13_0_C,x50___199_MJ_m2,x_60_kg_m2,x_64_kg_m2,x_l_ha,x___3,V_dt_og_koldt,x___6__,x_5___3_5,x5_0___16_9_C,x50___399_MJ_m2,x_90_kg_m2,x_10_kg_m2,x_50_l_ha,x___3,T_rt_og_varmt,x_5___1__,x_5___1_5,x5_0___16_9_C,x00___349_MJ_m2,x_30_kg_m2,x_14_kg_m2,x5___97_hkg_ha
x_5___4_5,x_5___1__,x_5___4_5,x5_0___16_9_C,x50___199_MJ_m2,x_45_kg_m2,x_24_kg_m2,x_l_ha,x___1,T_rt_og_varmt,x_5___1__,x_5___4_5,x___17_0_C,x___250_MJ_m2,x_60_kg_m2,x_58_kg_m2,x_l_ha,x___1,T_rt_og_varmt,x___6__,x_5___3_5,x___17_0_C,x50___399_MJ_m2,x_75_kg_m2,x_96_kg_m2,x_l_ha,x___4,V_dt_og_varmt,x___6__,x_5___1_5,x3_0___14_9_C,x__300_MJ_m2,x_45_kg_m2,x_08_kg_m2,x1___93_hkg_ha
x_5___5_5,x_00___0_01__,x_5___6_5,x3_0___14_9_C,x00___249_MJ_m2,x_65_kg_m2,x_36_kg_m2,x_75_l_ha,x___1,V_dt_og_koldt,x_00___0_01__,x_5___6_5,x3_0___14_9_C,x50___199_MJ_m2,x_55_kg_m2,x_68_kg_m2,x_50_l_ha,x___4,V_dt_og_varmt,x_00___0_01__,x_5___5_5,x5_0___16_9_C,x00___349_MJ_m2,x_95_kg_m2,x_14_kg_m2,x_50_l_ha,x___4,V_dt_og_varmt,x_00___0_01__,x_5___2_5,x5_0___16_9_C,x__300_MJ_m2,x_65_kg_m2,x_38_kg_m2,x17___119_hkg_ha
x__6_5,x0___25__,x_5___6_5,x3_0___14_9_C,x00___249_MJ_m2,x_65_kg_m2,x_38_kg_m2,x_50_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___6_5,x___17_0_C,x00___249_MJ_m2,x_60_kg_m2,x_68_kg_m2,x_50_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_5___4_5,x5_0___16_9_C,x00___349_MJ_m2,x_90_kg_m2,x_16_kg_m2,x_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___2_5,x5_0___16_9_C,x__300_MJ_m2,x_60_kg_m2,x_36_kg_m2,x15___117_hkg_ha
x_5___6_5,x___10__,x_5___6_5,x__13_0_C,x___250_MJ_m2,x_85_kg_m2,x_50_kg_m2,x_25_l_ha,x___4,V_dt_og_koldt,x_5___1__,x_5___6_5,x5_0___16_9_C,x___250_MJ_m2,x_70_kg_m2,x_88_kg_m2,x_25_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___5_5,x5_0___16_9_C,x50___399_MJ_m2,x_10_kg_m2,x_46_kg_m2,x_l_ha,x___3,V_dt_og_varmt,x_00___0_01__,x_5___2_5,x3_0___14_9_C,x__300_MJ_m2,x_50_kg_m2,x_60_kg_m2,x35___137_hkg_ha
x_5___4_5,x_5___1__,x_5___4_5,x__13_0_C,x00___249_MJ_m2,x_60_kg_m2,x_36_kg_m2,x_50_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___4_5,x5_0___16_9_C,x50___199_MJ_m2,x_45_kg_m2,x_56_kg_m2,x_50_l_ha,x___4,V_dt_og_varmt,x_00___0_01__,x_5___3_5,x___17_0_C,x00___349_MJ_m2,x_75_kg_m2,x_96_kg_m2,x_75_l_ha,x___3,V_dt_og_varmt,x_00___0_01__,x_5___1_5,x3_0___14_9_C,x50___399_MJ_m2,x_45_kg_m2,x_10_kg_m2,x3___95_hkg_ha
x_5___6_5,x_01___0_5__,x_5___6_5,x__13_0_C,x__150_MJ_m2,x_40_kg_m2,x_22_kg_m2,x_50_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___5_5,x5_0___16_9_C,x__150_MJ_m2,x_30_kg_m2,x_34_kg_m2,x_50_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___4_5,x5_0___16_9_C,x00___349_MJ_m2,x_70_kg_m2,x_70_kg_m2,x_l_ha,x___3,V_dt_og_varmt,x_00___0_01__,x_5___1_5,x3_0___14_9_C,x__300_MJ_m2,x_30_kg_m2,x_76_kg_m2,x3___65_hkg_ha
x_5___6_5,x0___100__,x_5___1_5,x3_0___14_9_C,x__150_MJ_m2,x_15_kg_m2,x_02_kg_m2,x_50_l_ha,x___1,T_rt_og_koldt,x___2__,x_5___1_5,x3_0___14_9_C,x00___249_MJ_m2,x_20_kg_m2,x_08_kg_m2,x_l_ha,x___4,V_dt_og_koldt,x___2__,x_5___1_5,x5_0___16_9_C,x00___349_MJ_m2,x_30_kg_m2,x_18_kg_m2,x_75_l_ha,x___3,T_rt_og_koldt,x_00___0_01__,x_0___0_5,x3_0___14_9_C,x00___349_MJ_m2,x_00_kg_m2,x_10_kg_m2,x___9_hkg_ha
x_5___6_5,x0___100__,x_5___1_5,x3_0___14_9_C,x50___199_MJ_m2,x_25_kg_m2,x_06_kg_m2,x_75_l_ha,x___4,V_dt_og_koldt,x_5___1__,x_5___1_5,x3_0___14_9_C,x00___249_MJ_m2,x_35_kg_m2,x_24_kg_m2,x_l_ha,x___4,V_dt_og_varmt,x___2__,x_0___0_5,x5_0___16_9_C,x50___399_MJ_m2,x_10_kg_m2,x_16_kg_m2,x_25_l_ha,x___1,T_rt_og_varmt,x_01___0_5__,x_0___0_5,x___17_0_C,x00___349_MJ_m2,x_00_kg_m2,x_10_kg_m2,x___9_hkg_ha
x_5___6_5,x___10__,x_5___6_5,x3_0___14_9_C,x__150_MJ_m2,x_45_kg_m2,x_26_kg_m2,x_l_ha,x___1,T_rt_og_koldt,x___10__,x_5___6_5,x3_0___14_9_C,x00___249_MJ_m2,x_60_kg_m2,x_56_kg_m2,x_50_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___4_5,x___17_0_C,x___400_MJ_m2,x_90_kg_m2,x_08_kg_m2,x_50_l_ha,x___3,V_dt_og_varmt,x_00___0_01__,x_5___1_5,x5_0___16_9_C,x00___349_MJ_m2,x_50_kg_m2,x_20_kg_m2,x01___103_hkg_ha
x__6_5,x_00___0_01__,x__6_5,x3_0___14_9_C,x__150_MJ_m2,x_50_kg_m2,x_26_kg_m2,x_25_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x__6_5,x5_0___16_9_C,x50___199_MJ_m2,x_55_kg_m2,x_54_kg_m2,x_50_l_ha,x___3,V_dt_og_varmt,x_00___0_01__,x_5___5_5,x___17_0_C,x00___349_MJ_m2,x_00_kg_m2,x_12_kg_m2,x_75_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___2_5,x5_0___16_9_C,x50___399_MJ_m2,x_60_kg_m2,x_32_kg_m2,x11___113_hkg_ha
x_5___3_5,x_00___0_01__,x_5___2_5,x5_0___16_9_C,x50___199_MJ_m2,x_30_kg_m2,x_10_kg_m2,x_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_5___2_5,x3_0___14_9_C,x50___199_MJ_m2,x_40_kg_m2,x_30_kg_m2,x_75_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___2_5,x___17_0_C,x50___399_MJ_m2,x_75_kg_m2,x_68_kg_m2,x_l_ha,x___3,V_dt_og_varmt,x_00___0_01__,x_5___1_5,x5_0___16_9_C,x00___349_MJ_m2,x_45_kg_m2,x_86_kg_m2,x1___73_hkg_ha
x_5___6_5,x_01___0_5__,x_5___6_5,x3_0___14_9_C,x00___249_MJ_m2,x_60_kg_m2,x_34_kg_m2,x_l_ha,x___1,T_rt_og_koldt,x_5___1__,x_5___6_5,x__13_0_C,x50___199_MJ_m2,x_60_kg_m2,x_64_kg_m2,x_50_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___5_5,x3_0___14_9_C,x00___349_MJ_m2,x_05_kg_m2,x_22_kg_m2,x_25_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___1_5,x3_0___14_9_C,x00___349_MJ_m2,x_30_kg_m2,x_24_kg_m2,x03___105_hkg_ha
x_5___6_5,x___10__,x_5___5_5,x3_0___14_9_C,x__150_MJ_m2,x_35_kg_m2,x_14_kg_m2,x_50_l_ha,x___3,V_dt_og_koldt,x_00___0_01__,x_5___6_5,x3_0___14_9_C,x50___199_MJ_m2,x_40_kg_m2,x_34_kg_m2,x_50_l_ha,x___1,V_dt_og_koldt,x_00___0_01__,x_5___5_5,x5_0___16_9_C,x50___399_MJ_m2,x_00_kg_m2,x_94_kg_m2,x_25_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_5___1_5,x___17_0_C,x50___399_MJ_m2,x_50_kg_m2,x_08_kg_m2,x1___93_hkg_ha
x_5___6_5,x0___100__,x_5___2_5,x3_0___14_9_C,x__150_MJ_m2,x_25_kg_m2,x_10_kg_m2,x_50_l_ha,x___1,T_rt_og_varmt,x___6__,x_5___1_5,x___17_0_C,x00___249_MJ_m2,x_20_kg_m2,x_14_kg_m2,x_25_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_5___1_5,x3_0___14_9_C,x00___349_MJ_m2,x_50_kg_m2,x_40_kg_m2,x_25_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_0___0_5,x3_0___14_9_C,x00___349_MJ_m2,x_00_kg_m2,x_28_kg_m2,x3___25_hkg_ha
x_5___6_5,x___2__,x_5___6_5,x3_0___14_9_C,x50___199_MJ_m2,x_60_kg_m2,x_34_kg_m2,x_25_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_5___6_5,x__13_0_C,x50___199_MJ_m2,x_45_kg_m2,x_58_kg_m2,x_l_ha,x___3,V_dt_og_koldt,x_00___0_01__,x_5___4_5,x5_0___16_9_C,x__300_MJ_m2,x_70_kg_m2,x_94_kg_m2,x_25_l_ha,x___4,V_dt_og_varmt,x_00___0_01__,x_5___1_5,x5_0___16_9_C,x00___349_MJ_m2,x_45_kg_m2,x_08_kg_m2,x1___93_hkg_ha
x_5___3_5,x_00___0_01__,x_5___3_5,x5_0___16_9_C,x50___199_MJ_m2,x_40_kg_m2,x_22_kg_m2,x_25_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___3_5,x5_0___16_9_C,x00___249_MJ_m2,x_40_kg_m2,x_38_kg_m2,x_l_ha,x___4,V_dt_og_varmt,x_00___0_01__,x_5___2_5,x5_0___16_9_C,x50___399_MJ_m2,x_55_kg_m2,x_64_kg_m2,x_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_5___1_5,x3_0___14_9_C,x00___349_MJ_m2,x_45_kg_m2,x_82_kg_m2,x9___71_hkg_ha
x_5___5_5,x___10__,x_5___5_5,x5_0___16_9_C,x__150_MJ_m2,x_30_kg_m2,x_14_kg_m2,x_75_l_ha,x___1,T_rt_og_koldt,x_01___0_5__,x_5___5_5,x3_0___14_9_C,x50___199_MJ_m2,x_45_kg_m2,x_36_kg_m2,x_50_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___3_5,x5_0___16_9_C,x___400_MJ_m2,x_90_kg_m2,x_86_kg_m2,x_75_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___1_5,x3_0___14_9_C,x__300_MJ_m2,x_50_kg_m2,x_02_kg_m2,x5___87_hkg_ha
x__6_5,x0___100__,x_5___3_5,x3_0___14_9_C,x50___199_MJ_m2,x_45_kg_m2,x_24_kg_m2,x_l_ha,x___4,V_dt_og_koldt,x___10__,x_5___2_5,x__13_0_C,x50___199_MJ_m2,x_35_kg_m2,x_40_kg_m2,x_50_l_ha,x___4,V_dt_og_koldt,x_01___0_5__,x_5___1_5,x3_0___14_9_C,x50___399_MJ_m2,x_70_kg_m2,x_78_kg_m2,x_25_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_0___0_5,x___17_0_C,x50___399_MJ_m2,x_15_kg_m2,x_74_kg_m2,x3___65_hkg_ha
x_5___5_5,x_01___0_5__,x_5___5_5,x5_0___16_9_C,x50___199_MJ_m2,x_45_kg_m2,x_22_kg_m2,x_25_l_ha,x___1,T_rt_og_koldt,x_00___0_01__,x_5___5_5,x3_0___14_9_C,x50___199_MJ_m2,x_50_kg_m2,x_48_kg_m2,x_75_l_ha,x___3,V_dt_og_koldt,x_00___0_01__,x_5___3_5,x___17_0_C,x50___399_MJ_m2,x_85_kg_m2,x_94_kg_m2,x_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_5___1_5,x3_0___14_9_C,x__300_MJ_m2,x_25_kg_m2,x_98_kg_m2,x3___85_hkg_ha
x_5___6_5,x_00___0_01__,x_5___6_5,x5_0___16_9_C,x50___199_MJ_m2,x_50_kg_m2,x_26_kg_m2,x_75_l_ha,x___3,V_dt_og_varmt,x_00___0_01__,x__6_5,x__13_0_C,x___250_MJ_m2,x_80_kg_m2,x_72_kg_m2,x_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___5_5,x3_0___14_9_C,x00___349_MJ_m2,x_00_kg_m2,x_26_kg_m2,x_l_ha,x___3,V_dt_og_koldt,x_00___0_01__,x_5___1_5,x___17_0_C,x__300_MJ_m2,x_45_kg_m2,x_36_kg_m2,x15___117_hkg_ha
x_5___3_5,x_5___1__,x_5___4_5,x3_0___14_9_C,x50___199_MJ_m2,x_40_kg_m2,x_22_kg_m2,x_25_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___4_5,x__13_0_C,x00___249_MJ_m2,x_55_kg_m2,x_48_kg_m2,x_50_l_ha,x___3,T_rt_og_koldt,x_00___0_01__,x_5___3_5,x3_0___14_9_C,x00___349_MJ_m2,x_75_kg_m2,x_88_kg_m2,x_50_l_ha,x___4,V_dt_og_varmt,x_00___0_01__,x_5___1_5,x___17_0_C,x__300_MJ_m2,x_40_kg_m2,x_02_kg_m2,x5___87_hkg_ha
x_5___6_5,x_5___1__,x_5___6_5,x3_0___14_9_C,x50___199_MJ_m2,x_45_kg_m2,x_26_kg_m2,x_l_ha,x___3,T_rt_og_varmt,x___2__,x_5___5_5,x___17_0_C,x00___249_MJ_m2,x_50_kg_m2,x_50_kg_m2,x_l_ha,x___3,T_rt_og_varmt,x0___25__,x_5___3_5,x5_0___16_9_C,x50___399_MJ_m2,x_00_kg_m2,x_08_kg_m2,x_50_l_ha,x___3,T_rt_og_varmt,x_5___1__,x_5___1_5,x___17_0_C,x00___349_MJ_m2,x_30_kg_m2,x_10_kg_m2,x3___95_hkg_ha
x_5___6_5,x___6__,x_5___6_5,x3_0___14_9_C,x00___249_MJ_m2,x_60_kg_m2,x_34_kg_m2,x_50_l_ha,x___3,V_dt_og_koldt,x_00___0_01__,x_5___6_5,x3_0___14_9_C,x00___249_MJ_m2,x_65_kg_m2,x_66_kg_m2,x_75_l_ha,x___4,V_dt_og_koldt,x_00___0_01__,x_5___4_5,x5_0___16_9_C,x50___399_MJ_m2,x_90_kg_m2,x_16_kg_m2,x_25_l_ha,x___1,T_rt_og_varmt,x_00___0_01__,x_5___1_5,x5_0___16_9_C,x00___349_MJ_m2,x_50_kg_m2,x_32_kg_m2,x11___113_hkg_ha
