Fault,F1,F10,F97,F4,F100,F105,F101,F102,F103,F104,F106,F41,F44,F107,F108,F55,F52,F11,F12,F53,F56,F8,F13,F14,F15,F16,F17,F18,F19,F2,F20,F90,F21,F22,F23,F24,F25,F26,F27,F28,F92,F29,F78,F3,F98,F30,F31,F32,F33,F34,F35,F36,F37,F84,F96,F38,F39,F40,F42,F43,F45,F46,F47,F85,F48,F49,F5,F50,F51,F83,F54,F57,F58,F59,F6,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F7,F72,F86,F70,F71,F73,F74,F75,F76,F77,F79,F80,F81,F82,F87,F88,F89,F9,F91,F93,F94,F95,F99
Large_cell__dif,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Present,Absent,No,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Present,Absent,NA,Absent,NA,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Present,Positive,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,LNC,Vesicular,Scanty,Round__most_,NA,Absent,Absent,x_50,NA,Absent,NA,Cerebriform,NA,NA,Absent,Numerous__51_90__,Absent,Absent,Absent,Absent,Absent,Present,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Round,Absent,Completely_obliterated,No,Slight,Absent,Present,Absent,Moderate__11_50__,NA,Absent,Absent,Absent,Extensive_SS_pattern,Present,Yes,x_1_peripheral,Clumped,NA
Small_noncleaved_dif,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Absent,Present,No,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Absent,Absent,NA,Absent,NA,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,NA,NA,NA,NA,Absent,Absent,x_50,Vesicular,Absent,Mod_abund_deep,Round,NA,x_1_peripheral,Absent,NA,Absent,Absent,Absent,Absent,Absent,Prominent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Markedly_irregular,Absent,Part_greatly_obliterated,No,Slight,Absent,Absent,Absent,Moderate__11_50__,Striking___90__,Absent,Absent,Absent,Multifocal_SS_pattern,Present,Yes,NA,Clumped,NA
Large_cell__dif,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Present,Absent,No,Absent,Absent,Absent,Absent,Absent,Focal__non_extensive_,Focal__non_extensive_,Absent_to_slight___5__,Absent,Absent,Absent,Absent,Absent,NA,Absent,NA,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,LNC,Vesicular,Scanty,Slightly_irregular__most_,NA,Present__1_50_,Absent,x_50,NA,Absent,NA,Slightly_irregular,NA,NA,Absent,Numerous__51_90__,Absent,Absent,Present,Absent,Slight,Present,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Slightly_irregular,Absent,Distended,No,Moderate,Absent,Absent,Absent,Moderate__11_50__,NA,Absent,Absent,Absent,Absent,Present,Yes,x_1_peripheral,Clumped,NA
Small_noncleaved_dif,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Absent,Present,No,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Present,Absent,NA,Absent,NA,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,NA,NA,NA,NA,Absent,Absent,x_50,Vesicular,Absent,Mod_abund_deep,Round,NA,x_1_peripheral,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Round,Absent,Patent,No,Slight,Absent,Absent,Absent,Moderate__11_50__,Striking___90__,Absent,Absent,Absent,Extensive_SS_pattern,Present,Yes,NA,Clumped,NA
Large_cell__dif,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Present,Absent,No,Present,Absent,Absent,Absent,Absent,Focal__non_extensive_,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Absent,Absent,NA,Absent,NA,Absent,Slight___10_,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,LNC,Vesicular,Scanty,Round__most_,NA,Absent,Absent,x_50,NA,Absent,NA,Slightly_irregular,NA,NA,Absent,Striking___90__,Absent,Absent,Present,Absent,Absent,Present,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Round,Absent,Patent,No,Slight,Absent,Absent,Absent,Moderate__11_50__,NA,Absent,Absent,Absent,Focal_SS_pattern,Present,Yes,x_1_peripheral,Clumped,NA
Large_cell__fol,Absent,Absent,Present,No,Absent,Absent,NA,NA,Almost_all_poor_def,x0_20,Yes,Present,Present,No,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Present,Absent,NA,Absent,No,Absent,Slight___10_,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,No,No,x1_25_,Large_focus_foci,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,LNC,Vesicular,Scanty,Round__most_,x_50___20u_nucleoli,Present__1_50_,Absent,x_50,Vesicular,Absent,Scanty,Round,None,x_1_peripheral,Absent,Moderate__11_50__,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Round,Absent,Completely_obliterated,No,Slight,Absent,Absent,Absent,Sparse__1_10__,Sparse___10__,Absent,Absent,Absent,Absent,Present,Yes,x1_small,Clumped,Back_to_back
Lymphoblastic,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Absent,Present,No,Absent,Absent,Absent,Absent,Absent,Absent,Focal__non_extensive_,Absent_to_slight___5__,Absent,Absent,Absent,Absent,Absent,NA,Absent,NA,Absent,Moderate__10_20_,Present,Absent,Absent,Absent,Absent,Present,Absent,Negative,Absent,Negative,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,NA,NA,NA,NA,Absent,Absent,x16_50,Fine_and_delicate,Absent,Scanty,Convoluted,NA,No_nucleoli,Absent,NA,Absent,Absent,Absent,Absent,Absent,Present,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Round,Absent,Completely_obliterated,No,Slight,Absent,Absent,Present,Sparse__1_10__,Striking___90__,Absent,Absent,Absent,Multifocal_SS_pattern,Absent,Yes,NA,Clumped,NA
Mixed_cellularity_HD,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Present,Present,No,Absent,Absent,Present__3_20_,Rare___3_,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Present,Absent,NA,Present___5__,NA,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Other,Vesicular,Mod_abund_clear,Round__most_,NA,Absent,Absent,x6_15,Vesicular,Absent,Scanty,Round,NA,x1_small,Absent,Sparse___10__,Absent,Absent,Present,Absent,Absent,Absent,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Round,Rare___6_,Part_greatly_obliterated,No,Slight,Absent,Absent,Absent,Numerous__51_90__,Sparse___10__,Absent,Absent,Absent,Absent,Present,No,x1_small,Clumped,NA
Mixed_cellularity_HD,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Absent,Absent,NA,Absent,Present__3_20_,Present__3_20_,Many__16_50_,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Prominent,Prominent___5__,NA,Present___5__,NA,Absent,Slight___10_,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,NA,NA,NA,NA,Absent,Absent,x0_5,NA,Absent,NA,Cerebriform,NA,NA,Absent,NA,Absent,Absent,Present,Absent,Slight,Absent,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Slightly_irregular,Rare___6_,Part_greatly_obliterated,No,Moderate,Absent,Absent,Absent,Moderate__11_50__,NA,Absent,Absent,Absent,Absent,Absent,No,NA,Clumped,NA
Lymphangiographic,Absent,Absent,Present,No,Absent,Present,Most_completely_encircle,Absent,Almost_all_well_def,x_50,Some_similar,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Absent,Present___5__,No,Present___5__,No,Absent,Absent,Absent,NA,Absent,Absent,Present__1_5_,Absent,Absent,Negative,Absent,Negative,No,No,x1_25_,No_expansion,Absent,Absent,Absent,Absent,Absent,Present__1_5_,Absent,Absent,NA,NA,NA,NA,x_80__6_12u_no_pr_vr_ns,Absent,Absent,x0_5,NA,Absent,NA,Irregular,None,NA,Absent,NA,Absent,Absent,Absent,Absent,Slight,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Multifocal,Present,Absent,Scanty,Round,Absent,Distended,No,Slight,Absent,Absent,Absent,Moderate__11_50__,NA,Absent,Absent,Absent,Absent,Absent,No,NA,Clumped,Far_apart
Large_cell__dif,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Present,Present,No,Absent,Absent,Absent,Absent,Absent,Focal__non_extensive_,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Absent,Absent,NA,Absent,NA,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,LNC,Vesicular,Scanty,Round__most_,NA,Absent,Absent,x16_50,Vesicular,Absent,Scanty,Round,NA,x_1_peripheral,Absent,Striking___90__,Absent,Absent,Present,Absent,Absent,Absent,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Round,Absent,Distended,No,Absent,Absent,Absent,Absent,Moderate__11_50__,Sparse___10__,Absent,Absent,Absent,Focal_SS_pattern,Present,Yes,x_1_peripheral,Clumped,NA
Viral_NOS,Absent,Absent,Present,No,Absent,Present,Most_thick___10_cells_,Absent,Almost_all_well_def,x21_50,Some_similar,Present,Present,No,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Present,Present___5__,No,Absent,No,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,No,No,x25_75_,Sml__each___10__,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Other,Vesicular,Mod_abund_deep,Round__most_,x_80__6_12u_no_pr_vr_ns,Absent,Absent,x6_15,Vesicular,Absent,Scanty,Round,None,x_1_peripheral,Present___5__,Sparse___10__,Multifocal__non_extensive_,Absent,Absent,Absent,Absent,Absent,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Round,Absent,Part_greatly_obliterated,No,Slight,Absent,Present,Absent,Numerous__51_90__,Sparse___10__,Absent,Absent,Absent,Absent,Absent,No,x1_small,Clumped,Far_apart
Small_cleaved__fol,Absent,Absent,Present,No,Absent,Present,Most_absent,Absent,Almost_all_poor_def,x0_20,Some_similar,Present,Present,No,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Absent,Absent,NA,Absent,No,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,No,No,x_90_,No_expansion,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,LNC,Vesicular,Scanty,Round__most_,x_80__6_12u_no_pr_vr_ns,Absent,Absent,x_50,Vesicular,Absent,Scanty,Round,None,x_1_peripheral,Absent,Sparse___10__,Absent,Absent,Absent,Absent,Absent,Absent,Few___5__,Mature,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Markedly_irregular,Absent,Completely_obliterated,No,Slight,Absent,Absent,Absent,Striking___90__,Sparse___10__,Absent,Absent,Absent,Absent,Present,No,x_1_peripheral,Clumped,Back_to_back
GLH_hyaline_vacular,Absent,Absent,Present,No,Absent,Present,Form_1_4_nod_in_4sqcm,Absent,Almost_all_well_def,x0_20,None_similar,Absent,Absent,NA,Absent,Absent,Rare___3_,Absent,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Present,Absent,NA,Absent,Yes,Absent,Slight___10_,Present,Absent,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,No,No,x1_25_,Uniform_mild_mod_exp,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,NA,NA,NA,mixed__sml_cl_not_pr_vr,Absent,Absent,x6_15,NA,Absent,NA,NA,More_than_one,NA,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Round,Absent,Part_greatly_obliterated,No,Marked,Absent,Absent,Absent,Moderate__11_50__,NA,Absent,Absent,Absent,Absent,Absent,No,NA,Clumped,Far_apart
Cellular_phase_NSHD,Absent,Absent,Absent,NA,NA,NA,NA,NA,NA,NA,NA,Present,Present,No,Absent,Present__3_20_,Present__3_20_,Present__3_15_,Absent,Absent,Multifocal__non_extensive_,Absent_to_slight___5__,Absent,Absent,Absent,Present,Absent,NA,Absent,NA,Absent,Moderate__10_20_,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,NA,NA,NA,NA,Absent,Absent,Absent,Absent,Few__6_25_cells_,Absent,Absent,Absent,LNC,Vesicular,Scanty,Round__most_,NA,Absent,Absent,x6_15,Vesicular,Absent,Scanty,Round,NA,x_1_peripheral,Absent,Sparse___10__,Absent,Absent,Present,Absent,Absent,Absent,Few___5__,Mature,Rare___6_,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Round,Rare___6_,Completely_obliterated,No,Absent,Absent,Absent,Absent,Numerous__51_90__,Sparse___10__,Absent,Absent,Absent,Absent,Present,No,x_1_peripheral,Clumped,NA
Mixed__fol,Absent,Absent,Present,No,Absent,Absent,NA,NA,Almost_all_poor_def,x21_50,Yes,Present,Present,No,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Absent,Absent,NA,Absent,No,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,No,No,x_90_,No_expansion,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,LNC,Vesicular,Scanty,Round__most_,mixed__sml_cl_pr_var_ns,Absent,Absent,x0_5,Vesicular,Absent,Scanty,Round,None,x_1_peripheral,Absent,Sparse___10__,Absent,Absent,Absent,Absent,Slight,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Markedly_irregular,Absent,Part_greatly_obliterated,No,Slight,Absent,Absent,Absent,Sparse__1_10__,Sparse___10__,Absent,Absent,Absent,Absent,Present,No,x_1_peripheral,Clumped,Back_to_back
Mixed__fol,Absent,Absent,Present,No,Absent,Absent,NA,NA,Almost_all_poor_def,x21_50,None_similar,Present,Present,No,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent_to_slight___5__,Absent,Absent,Absent,Present,Absent,NA,Absent,No,Absent,Absent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Negative,Absent,Negative,No,No,x75_90_,Sml__each___10__,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,LNC,Vesicular,Scanty,Round__most_,mixed__sml_cl_pr_var_ns,Present__1_50_,Absent,x0_5,Vesicular,Absent,Scanty,Round,None,x_1_peripheral,Absent,Sparse___10__,Absent,Absent,Present,Absent,Absent,Prominent,Absent,NA,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Scanty,Markedly_irregular,Absent,Distended,No,Absent,Absent,Absent,Absent,Sparse__1_10__,Sparse___10__,Absent,Absent,Absent,Absent,Present,No,x_1_peripheral,Clumped,Closely_packed
