Age,SocioEcon,RiskAversion,MakeModel,VehicleYear,Antilock,Mileage,SeniorTrain,DrivingSkill,DrivQuality,Accident,Airbag,AntiTheft,CarValue,RuggedAuto,Cushioning,DrivHist,GoodStudent,HomeBase,ILiCost,MedCost,OtherCar,OtherCarCost,ThisCarDam,Theft,ThisCarCost,PropCost
Senior,Prole,Normal,Economy,Older,False,TwentyThou,True,Normal,Normal,None,True,False,TenThou,EggShell,Good,Zero,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Middle,Adventurous,Economy,Older,False,FiftyThou,False,Normal,Poor,Severe,False,False,FiveThou,EggShell,Poor,Zero,False,Suburb,Thousand,HundredThou,False,HundredThou,Severe,False,TenThou,HundredThou
Adult,UpperMiddle,Normal,FamilySedan,Current,True,TwentyThou,False,Normal,Normal,None,True,True,TwentyThou,Tank,Excellent,Zero,False,Rural,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,Middle,Normal,Economy,Older,False,TwentyThou,False,Normal,Normal,None,False,False,FiveThou,Football,Fair,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Middle,Normal,FamilySedan,Older,False,TwentyThou,False,Normal,Normal,None,False,False,FiveThou,Football,Poor,Zero,False,Suburb,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Middle,Adventurous,FamilySedan,Older,False,TwentyThou,False,Normal,Poor,Severe,False,False,FiveThou,Tank,Excellent,Zero,False,Suburb,HundredThou,Million,True,TenThou,Severe,False,TenThou,TenThou
Adult,Middle,Adventurous,FamilySedan,Older,False,FiftyThou,False,SubStandard,Poor,Mild,False,False,FiveThou,Tank,Good,Many,False,Suburb,Thousand,Thousand,True,Thousand,Mild,False,Thousand,TenThou
Adolescent,UpperMiddle,Adventurous,SportsCar,Current,True,FiftyThou,False,SubStandard,Poor,None,True,False,TwentyThou,EggShell,Poor,Many,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Adventurous,Economy,Current,False,FiveThou,False,Normal,Excellent,None,True,False,TenThou,Football,Good,One,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Cautious,Economy,Older,False,Domino,False,Expert,Excellent,None,False,True,FiveThou,EggShell,Fair,Zero,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Prole,Cautious,Economy,Older,False,FiftyThou,False,Normal,Normal,None,False,True,FiveThou,EggShell,Fair,Zero,False,Rural,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Prole,Adventurous,Economy,Older,False,TwentyThou,False,Normal,Normal,None,False,False,FiveThou,EggShell,Poor,Many,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,TenThou
Adolescent,Middle,Adventurous,FamilySedan,Current,False,FiftyThou,False,SubStandard,Poor,Severe,True,False,TenThou,Football,Good,Many,True,Suburb,Thousand,Thousand,True,TenThou,Severe,False,Thousand,TenThou
Adult,Prole,Cautious,Economy,Older,False,FiftyThou,False,SubStandard,Poor,Moderate,False,True,FiveThou,EggShell,Poor,One,False,City,Thousand,HundredThou,True,Thousand,Severe,False,TenThou,TenThou
Adult,Middle,Normal,SportsCar,Older,False,FiftyThou,False,Normal,Normal,None,True,True,TwentyThou,EggShell,Fair,Zero,False,Suburb,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Middle,Normal,FamilySedan,Older,False,FiveThou,False,Expert,Excellent,None,True,True,TwentyThou,Tank,Excellent,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,Middle,Normal,FamilySedan,Current,False,FiftyThou,False,Expert,Excellent,None,True,False,TwentyThou,Football,Good,Zero,False,Suburb,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Senior,Middle,Normal,SportsCar,Older,False,FiveThou,True,Expert,Excellent,None,False,True,TwentyThou,EggShell,Fair,Zero,False,Rural,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Senior,Prole,Cautious,SportsCar,Older,False,TwentyThou,True,Normal,Normal,None,False,True,TenThou,EggShell,Poor,Zero,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Senior,UpperMiddle,Cautious,Luxury,Current,True,TwentyThou,True,Expert,Excellent,None,True,True,FiftyThou,Football,Excellent,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Cautious,SportsCar,Older,False,FiftyThou,False,Normal,Normal,None,False,True,FiveThou,EggShell,Poor,Zero,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,TenThou
Adolescent,Middle,Cautious,Economy,Older,False,FiveThou,False,Normal,Normal,None,False,True,FiveThou,EggShell,Poor,Zero,True,Secure,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,UpperMiddle,Normal,Luxury,Current,True,FiftyThou,False,SubStandard,Poor,Severe,True,True,FiftyThou,Football,Excellent,One,False,Suburb,Thousand,Thousand,True,TenThou,Severe,False,HundredThou,HundredThou
Adolescent,UpperMiddle,Normal,Economy,Older,False,FiftyThou,False,SubStandard,Poor,Moderate,True,True,FiveThou,EggShell,Good,One,False,Rural,TenThou,Thousand,True,HundredThou,Severe,False,TenThou,HundredThou
Adult,Prole,Cautious,SportsCar,Older,False,TwentyThou,False,SubStandard,Poor,None,False,True,TwentyThou,Football,Fair,One,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Prole,Psychopath,FamilySedan,Older,False,FiftyThou,False,Normal,Poor,Severe,True,False,TwentyThou,Football,Good,Many,False,City,HundredThou,Thousand,True,HundredThou,Severe,False,HundredThou,Million
Adult,Middle,Cautious,Economy,Current,False,TwentyThou,False,Normal,Normal,None,True,True,TenThou,Football,Good,Many,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,UpperMiddle,Normal,Economy,Current,False,TwentyThou,False,Normal,Normal,None,True,True,TenThou,EggShell,Poor,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Middle,Adventurous,FamilySedan,Older,False,TwentyThou,False,Normal,Normal,None,False,False,TenThou,Tank,Good,Zero,False,Rural,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Senior,Prole,Normal,SportsCar,Current,True,Domino,False,SubStandard,Poor,None,True,False,TwentyThou,EggShell,Poor,Many,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Cautious,Economy,Older,False,TwentyThou,False,Normal,Normal,None,False,True,FiveThou,Football,Good,Zero,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adolescent,Prole,Normal,FamilySedan,Current,False,FiftyThou,False,Expert,Excellent,None,True,False,TwentyThou,EggShell,Poor,Zero,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Middle,Cautious,FamilySedan,Older,False,FiftyThou,False,Normal,Normal,None,False,True,FiveThou,Tank,Good,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Middle,Normal,SportsCar,Current,True,FiftyThou,False,Expert,Excellent,None,True,False,TwentyThou,EggShell,Poor,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Normal,FamilySedan,Older,False,TwentyThou,False,SubStandard,Poor,Moderate,True,False,TenThou,EggShell,Poor,Many,False,City,Thousand,Thousand,False,TenThou,Moderate,False,TenThou,TenThou
Adult,UpperMiddle,Adventurous,FamilySedan,Current,True,FiveThou,False,SubStandard,Poor,Mild,True,False,TwentyThou,Football,Excellent,Many,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Normal,Economy,Older,False,Domino,False,SubStandard,Poor,Moderate,False,True,FiveThou,EggShell,Poor,Many,False,Suburb,Million,Thousand,False,Thousand,Moderate,False,TenThou,TenThou
Adult,Middle,Normal,Economy,Older,False,TwentyThou,False,Normal,Normal,Mild,False,False,FiveThou,EggShell,Poor,Zero,False,Suburb,Thousand,Thousand,True,Thousand,Mild,False,Thousand,Thousand
Adult,Prole,Cautious,Economy,Older,False,Domino,False,Normal,Normal,None,False,True,FiveThou,EggShell,Fair,Zero,False,Suburb,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Middle,Psychopath,FamilySedan,Older,False,TwentyThou,False,Normal,Excellent,None,False,False,FiveThou,Tank,Good,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,UpperMiddle,Normal,Luxury,Current,True,TwentyThou,False,Normal,Normal,None,True,True,FiftyThou,Football,Good,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,Middle,Normal,FamilySedan,Older,False,TwentyThou,False,Normal,Normal,None,False,False,TwentyThou,Football,Good,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Normal,Economy,Older,False,FiftyThou,False,Normal,Normal,None,False,False,FiveThou,Football,Fair,Zero,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Middle,Cautious,FamilySedan,Older,False,FiftyThou,False,SubStandard,Poor,Severe,False,True,FiveThou,Tank,Excellent,Zero,False,Secure,Thousand,Thousand,True,TenThou,Mild,False,Thousand,TenThou
Adolescent,Prole,Adventurous,Economy,Older,False,TwentyThou,False,Expert,Excellent,None,False,False,TenThou,EggShell,Fair,Zero,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Senior,Prole,Cautious,Economy,Older,False,TwentyThou,True,Normal,Normal,None,False,True,TenThou,Football,Fair,Zero,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Middle,Adventurous,FamilySedan,Older,False,FiveThou,False,Normal,Normal,None,True,False,TwentyThou,Tank,Excellent,One,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adolescent,Middle,Adventurous,Economy,Current,False,TwentyThou,False,Normal,Normal,None,True,False,TenThou,EggShell,Good,Many,False,Rural,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Senior,Prole,Normal,Economy,Older,False,Domino,True,Normal,Normal,None,False,False,FiveThou,EggShell,Poor,Zero,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Normal,Economy,Older,False,TwentyThou,False,SubStandard,Poor,None,False,False,FiveThou,EggShell,Poor,Many,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Senior,Prole,Cautious,Economy,Older,False,TwentyThou,True,Normal,Normal,None,False,True,FiveThou,EggShell,Poor,Zero,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,UpperMiddle,Psychopath,Economy,Current,False,TwentyThou,False,Normal,Excellent,None,True,False,TenThou,EggShell,Poor,Many,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Middle,Cautious,FamilySedan,Older,False,TwentyThou,False,SubStandard,Poor,Severe,False,True,FiveThou,Football,Good,Zero,False,Secure,Thousand,Thousand,True,HundredThou,Severe,False,TenThou,HundredThou
Adult,Middle,Adventurous,FamilySedan,Current,True,FiftyThou,False,Normal,Poor,Moderate,True,False,TwentyThou,Tank,Excellent,Zero,False,Suburb,Thousand,Thousand,True,HundredThou,Mild,False,Thousand,HundredThou
Adult,Middle,Normal,Economy,Older,False,FiftyThou,False,SubStandard,Poor,Moderate,False,False,FiveThou,EggShell,Poor,Many,False,Suburb,Thousand,HundredThou,True,Thousand,Moderate,False,TenThou,TenThou
Adolescent,Middle,Adventurous,FamilySedan,Older,False,TwentyThou,False,Normal,Normal,None,False,False,FiveThou,Football,Good,One,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Senior,Prole,Cautious,FamilySedan,Older,False,Domino,True,Expert,Excellent,None,False,True,FiveThou,Tank,Good,Zero,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Prole,Normal,Economy,Older,False,TwentyThou,False,SubStandard,Poor,None,False,False,FiveThou,Football,Good,Many,False,Rural,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,Wealthy,Normal,FamilySedan,Current,False,TwentyThou,False,Normal,Normal,None,True,True,TwentyThou,Tank,Excellent,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Senior,Prole,Normal,FamilySedan,Older,False,FiftyThou,False,Normal,Normal,None,False,False,TenThou,Football,Good,Zero,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Middle,Normal,SportsCar,Older,False,TwentyThou,False,Normal,Normal,None,False,False,TenThou,EggShell,Poor,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,UpperMiddle,Normal,SportsCar,Current,True,TwentyThou,False,Normal,Normal,None,True,True,TwentyThou,EggShell,Poor,One,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,UpperMiddle,Normal,SportsCar,Current,True,FiftyThou,False,SubStandard,Poor,None,True,True,TenThou,EggShell,Poor,Many,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,UpperMiddle,Normal,Luxury,Current,True,FiftyThou,False,Normal,Normal,None,True,True,FiftyThou,Football,Excellent,Zero,False,Rural,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Senior,Middle,Normal,FamilySedan,Older,False,FiftyThou,False,Normal,Normal,None,False,True,FiveThou,Football,Fair,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Middle,Normal,FamilySedan,Current,False,FiftyThou,False,Normal,Normal,None,True,True,TwentyThou,Tank,Excellent,Zero,False,Secure,Thousand,Thousand,False,Thousand,None,False,Thousand,TenThou
Adult,Middle,Normal,FamilySedan,Older,False,FiftyThou,False,Normal,Normal,None,False,False,FiveThou,EggShell,Fair,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Senior,Prole,Cautious,Economy,Current,False,TwentyThou,True,Normal,Normal,None,True,True,TenThou,Football,Good,One,False,Rural,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adult,UpperMiddle,Normal,SportsCar,Older,False,FiftyThou,False,Normal,Normal,None,True,True,TenThou,EggShell,Fair,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adolescent,Prole,Adventurous,Economy,Older,False,FiftyThou,False,Normal,Excellent,None,False,False,FiveThou,EggShell,Poor,Many,False,Rural,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adolescent,Middle,Normal,Economy,Older,False,TwentyThou,False,Normal,Normal,None,False,False,FiveThou,EggShell,Poor,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adolescent,Middle,Adventurous,FamilySedan,Current,False,TwentyThou,False,Expert,Excellent,None,True,False,TwentyThou,Tank,Excellent,Zero,True,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Middle,Normal,FamilySedan,Older,False,FiftyThou,False,SubStandard,Poor,Moderate,False,True,FiveThou,Football,Good,Many,False,Secure,Thousand,Thousand,True,TenThou,Severe,False,TenThou,HundredThou
Adult,Middle,Normal,Economy,Older,False,FiftyThou,False,Normal,Normal,None,False,False,FiveThou,EggShell,Poor,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Senior,UpperMiddle,Cautious,Luxury,Current,True,FiveThou,True,Expert,Excellent,None,True,True,FiftyThou,Tank,Excellent,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Senior,Prole,Cautious,Economy,Older,False,TwentyThou,True,SubStandard,Poor,Moderate,False,True,FiveThou,EggShell,Poor,Many,False,City,Thousand,TenThou,False,Thousand,Moderate,False,Thousand,TenThou
Adolescent,UpperMiddle,Adventurous,Economy,Current,False,FiftyThou,False,SubStandard,Poor,Severe,True,False,FiveThou,Football,Fair,Many,False,Secure,Thousand,HundredThou,True,TenThou,Severe,False,Thousand,TenThou
Senior,UpperMiddle,Cautious,SportsCar,Current,True,Domino,True,Normal,Normal,Mild,True,True,TwentyThou,EggShell,Fair,Zero,False,Secure,Thousand,Thousand,True,Thousand,Mild,False,Thousand,Thousand
Adult,Middle,Normal,FamilySedan,Older,False,FiveThou,False,Expert,Excellent,None,True,False,TwentyThou,Football,Good,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Cautious,Economy,Older,False,FiftyThou,False,Normal,Normal,None,False,True,FiveThou,EggShell,Poor,Zero,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Middle,Adventurous,SportsCar,Older,False,FiftyThou,False,Normal,Normal,None,False,False,TenThou,EggShell,Fair,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Middle,Adventurous,FamilySedan,Older,False,TwentyThou,False,SubStandard,Poor,Severe,False,False,FiveThou,Tank,Good,Many,False,Suburb,TenThou,Thousand,False,TenThou,Severe,False,TenThou,TenThou
Senior,UpperMiddle,Normal,FamilySedan,Current,True,FiftyThou,False,Normal,Normal,None,True,False,TwentyThou,Football,Good,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Adventurous,Economy,Current,False,FiftyThou,False,Normal,Normal,None,True,False,TenThou,EggShell,Poor,Zero,False,City,Thousand,Thousand,False,Thousand,None,False,Thousand,TenThou
Adult,Prole,Psychopath,Economy,Older,False,Domino,False,Normal,Poor,Severe,True,False,FiveThou,EggShell,Good,One,False,City,Thousand,Thousand,True,HundredThou,Severe,False,TenThou,HundredThou
Adult,Middle,Cautious,FamilySedan,Current,True,TwentyThou,False,SubStandard,Poor,None,True,True,TwentyThou,EggShell,Poor,Zero,False,Secure,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adolescent,Middle,Normal,FamilySedan,Older,False,FiveThou,False,SubStandard,Poor,Moderate,False,True,TwentyThou,Tank,Excellent,Many,False,Suburb,Thousand,Thousand,False,Thousand,Mild,False,Thousand,Thousand
Adult,Prole,Normal,SportsCar,Older,False,FiveThou,False,Normal,Normal,None,False,False,TwentyThou,EggShell,Poor,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adolescent,Middle,Adventurous,FamilySedan,Older,False,FiftyThou,False,Expert,Excellent,Moderate,True,False,FiveThou,Football,Excellent,Zero,False,Rural,Thousand,Thousand,True,Thousand,Moderate,False,Thousand,Thousand
Adult,Prole,Cautious,Economy,Older,False,FiftyThou,False,Normal,Normal,None,False,True,FiveThou,EggShell,Fair,Zero,False,Rural,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Senior,Middle,Cautious,FamilySedan,Current,False,FiveThou,True,Expert,Excellent,None,True,True,TwentyThou,Football,Excellent,Zero,False,Secure,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Middle,Normal,Economy,Older,False,FiftyThou,False,Normal,Normal,None,False,True,TenThou,EggShell,Poor,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Senior,Prole,Normal,Economy,Current,False,FiftyThou,False,SubStandard,Poor,Severe,True,False,TenThou,Football,Good,Many,False,Rural,Thousand,HundredThou,False,TenThou,Severe,False,TenThou,HundredThou
Adult,Middle,Normal,Economy,Older,False,Domino,False,SubStandard,Poor,Severe,False,False,FiveThou,EggShell,Fair,Many,False,Suburb,TenThou,Thousand,False,TenThou,Severe,False,TenThou,HundredThou
Adult,Middle,Normal,SportsCar,Older,False,TwentyThou,False,Normal,Normal,None,False,True,TenThou,EggShell,Poor,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,Prole,Normal,Economy,Current,False,TwentyThou,False,Normal,Normal,None,True,False,TenThou,EggShell,Poor,Zero,False,Rural,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adolescent,Prole,Adventurous,Economy,Older,False,FiftyThou,False,Normal,Normal,None,False,False,FiveThou,EggShell,Fair,Many,False,Rural,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Senior,Prole,Cautious,FamilySedan,Older,False,TwentyThou,True,Normal,Normal,None,False,True,FiveThou,Football,Fair,Zero,False,Suburb,Thousand,Thousand,False,Thousand,None,False,Thousand,TenThou
Senior,UpperMiddle,Cautious,Luxury,Current,True,FiftyThou,True,SubStandard,Poor,Moderate,True,True,FiftyThou,Tank,Excellent,Zero,False,Secure,Thousand,Million,True,TenThou,Mild,False,Thousand,TenThou
Adolescent,Prole,Adventurous,FamilySedan,Older,False,TwentyThou,False,Normal,Poor,Mild,False,False,TenThou,Tank,Good,One,False,Rural,Thousand,Thousand,False,Thousand,Mild,False,Thousand,TenThou
Adult,Prole,Adventurous,Economy,Older,False,FiftyThou,False,Normal,Poor,Severe,False,False,FiveThou,EggShell,Poor,Many,False,City,Thousand,Thousand,True,HundredThou,Severe,False,TenThou,HundredThou
Adolescent,Prole,Normal,Economy,Older,False,TwentyThou,False,SubStandard,Poor,Mild,False,False,FiveThou,EggShell,Poor,One,False,Rural,Thousand,Thousand,True,Thousand,Mild,False,Thousand,Thousand
Senior,Prole,Cautious,Economy,Older,False,FiveThou,True,SubStandard,Poor,None,False,True,FiveThou,EggShell,Poor,Many,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,TenThou
Adolescent,Middle,Normal,SportsCar,Older,False,TwentyThou,False,SubStandard,Poor,Severe,False,False,TenThou,EggShell,Poor,Many,False,Suburb,Thousand,Million,True,TenThou,Severe,False,TenThou,TenThou
Adult,Prole,Normal,Economy,Older,False,FiftyThou,False,SubStandard,Poor,Severe,False,False,FiveThou,EggShell,Poor,One,False,City,TenThou,TenThou,True,HundredThou,Severe,False,TenThou,HundredThou
Adult,UpperMiddle,Adventurous,Luxury,Current,True,FiveThou,False,Normal,Excellent,None,True,False,FiftyThou,Football,Good,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adolescent,Middle,Adventurous,FamilySedan,Current,True,FiftyThou,False,SubStandard,Poor,Moderate,True,False,TwentyThou,Tank,Excellent,Many,True,Suburb,Thousand,Thousand,True,HundredThou,Moderate,False,HundredThou,HundredThou
Adult,Prole,Normal,FamilySedan,Older,False,TwentyThou,False,Normal,Normal,None,False,False,FiveThou,Tank,Good,Zero,False,Rural,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Middle,Normal,FamilySedan,Older,False,FiveThou,False,SubStandard,Poor,None,True,True,FiveThou,EggShell,Fair,Many,False,Suburb,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Middle,Normal,FamilySedan,Older,False,FiveThou,False,Normal,Normal,None,False,False,FiveThou,Football,Fair,Zero,False,Suburb,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,UpperMiddle,Normal,SportsCar,Current,True,TwentyThou,False,SubStandard,Poor,Mild,True,True,FiftyThou,EggShell,Fair,One,False,Secure,Thousand,Thousand,True,Thousand,Mild,False,Thousand,Thousand
Adult,Middle,Normal,FamilySedan,Older,False,FiftyThou,False,Expert,Excellent,None,False,False,TenThou,Football,Fair,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,UpperMiddle,Adventurous,Luxury,Current,True,TwentyThou,False,SubStandard,Poor,Mild,True,False,FiftyThou,Football,Good,Many,False,Secure,Thousand,Thousand,True,Thousand,Mild,False,Thousand,Thousand
Adolescent,Prole,Adventurous,SportsCar,Older,False,TwentyThou,False,SubStandard,Poor,None,False,False,TwentyThou,EggShell,Poor,Many,False,City,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adolescent,Prole,Normal,FamilySedan,Older,False,Domino,False,Normal,Normal,None,False,False,FiveThou,EggShell,Poor,Zero,False,Rural,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adult,UpperMiddle,Normal,SportsCar,Current,True,FiftyThou,False,SubStandard,Poor,None,True,True,TwentyThou,EggShell,Fair,Many,False,Suburb,Thousand,Thousand,False,Thousand,None,False,Thousand,Thousand
Adult,Prole,Normal,SportsCar,Current,True,TwentyThou,False,SubStandard,Poor,Moderate,True,False,TwentyThou,Tank,Excellent,Many,False,City,Thousand,Thousand,True,HundredThou,Mild,False,Thousand,HundredThou
Adult,Middle,Normal,SportsCar,Current,True,TwentyThou,False,Expert,Excellent,None,True,False,TwentyThou,Football,Good,Zero,False,Suburb,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
Adolescent,Middle,Adventurous,FamilySedan,Current,False,TwentyThou,False,SubStandard,Poor,Severe,True,False,TwentyThou,Football,Good,Many,False,Suburb,Thousand,Thousand,True,TenThou,Severe,False,HundredThou,HundredThou
Adult,Prole,Normal,Economy,Older,False,TwentyThou,False,SubStandard,Poor,Severe,False,False,TenThou,EggShell,Poor,One,False,City,Thousand,Million,True,TenThou,Severe,False,TenThou,HundredThou
Adult,Middle,Cautious,FamilySedan,Older,False,TwentyThou,False,Normal,Normal,None,False,True,TwentyThou,Tank,Excellent,Zero,False,Secure,Thousand,Thousand,True,Thousand,None,False,Thousand,Thousand
